%año         Mes      Dia      Hora     Cont    T1mx     T1mn  
 2012.00     4.00    27.00     7.00   405.00    30.61    24.40
 2012.00     4.00    28.00     7.00   406.00    29.17    22.76
 2012.00     4.00    29.00     7.00   407.00    29.72    21.87
 2012.00     4.00    30.00     7.00   408.00    30.06    21.94
 2012.00     5.00     1.00     7.00   409.00    30.41    22.49
 2012.00     5.00     2.00     7.00   410.00    30.17    23.44
 2012.00     5.00     3.00     7.00   411.00    30.48    23.03
 2012.00     5.00     4.00     7.00   412.00    30.24    23.10
 2012.00     5.00     5.00     7.00   413.00    29.69    21.94
 2012.00     5.00     6.00     7.00   414.00    30.11    22.49
 2012.00     5.00     7.00     7.00   415.00    30.28    22.14
 2012.00     5.00     8.00     7.00   416.00    30.86    22.21
 2012.00     5.00     9.00     7.00   417.00    30.62    22.45
 2012.00     5.00    10.00     7.00   418.00    30.48    22.69
 2012.00     5.00    11.00     7.00   419.00    30.28    23.14
 2012.00     5.00    12.00     7.00   420.00    30.89    22.90
 2012.00     5.00    13.00     7.00   421.00    31.20    23.11
 2012.00     5.00    14.00     7.00   422.00    31.58    23.92
 2012.00     5.00    15.00     7.00   423.00    30.18    23.65
 2012.00     5.00    16.00     7.00   424.00    29.73    23.92
 2012.00     5.00    17.00     7.00   425.00    30.20    22.80
 2012.00     5.00    18.00     7.00   426.00    30.93    23.41
 2012.00     5.00    19.00     7.00   427.00    30.86    22.69
 2012.00     5.00    20.00     7.00   428.00    31.85    23.92
 2012.00     5.00    21.00     7.00   429.00    31.44    23.04
 2012.00     5.00    22.00     7.00   430.00    30.24    23.04
 2012.00     5.00    23.00     7.00   431.00    30.48    23.38
 2012.00     5.00    24.00     7.00   432.00    30.59    24.23
 2012.00     5.00    25.00     7.00   433.00    30.97    23.10
 2012.00     5.00    26.00     7.00   434.00    31.41    22.90
 2012.00     5.00    27.00     7.00   435.00    31.46    21.54
 2012.00     5.00    28.00     7.00   436.00    31.58    23.69
 2012.00     5.00    29.00     7.00   437.00    30.89    24.54
 2012.00     5.00    30.00     7.00   438.00    31.24    24.13
 2012.00     5.00    31.00     7.00   439.00    29.31    22.49
 2012.00     6.00     1.00     7.00   440.00    30.69    23.31
